"ObjectID","Meter Number","Status","Pay By Cell Number","Meter_Hours","Parking_Facility_Name","Facility","Borough","On_Street","Side_of_Street","From_Street","To_Street","Latitude","Longitude","X","Y","Location"
"11971","4383101","Active","448469","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","CLINTONVILLE STREET","W","12 ROAD","14 AVENUE","40.79015732066","-73.81190610077","1,036,334.26064873","227,208.454753473","POINT (-73.8119061007693 40.790157320661)"
"4632","4013050","Active","423753","2HR Pas Mon-Sat 1600-2200",,"On Street","Queens","QUEENS BOULEVARD","S","41 STREET","42 STREET","40.74338821492","-73.92268490062","1,005,674.03981705","210,122.456117138","POINT (-73.9226849006178 40.74338821492)"
"359","4463029","Active","412479","2HR Pas Mon-Sat 0800-1900",,"On Street","Queens","JAMAICA AVENUE","N","114 STREET","115 STREET","40.69852229501","-73.83453615223","1,030,130.94234672","193,810.29976514","POINT (-73.8345361522334 40.698522295012)"
"80","2213011","Active","201219","2HR Pas Mon-Sat 0800-1900",,"On Street","Bronx","EAST 138 STREET","N","ALEXANDER AVENUE","WILLIS AVENUE","40.80971764943","-73.9241532615","1,005,246.23227373","234,288.137116387","POINT (-73.9241532615041 40.8097176494275)"
"808","4122318","Active","468904","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","ELBERTSON STREET","N","ROOSEVELT AVENUE","BRITTON AVENUE","40.74786395585","-73.87926526256","1,017,703.38222814","211,766.711358815","POINT (-73.8792652625624 40.7478639558521)"
"8020","2083045","Active","203750","2HR Pas Mon-Sat 0830-1900",,"On Street","Bronx","WHITE PLAINS ROAD","W","EAST 234 STREET","EAST 235 STREET","40.89451652905","-73.85687719668","1,023,819.40050788","265,206.841026887","POINT (-73.8568771966831 40.8945165290506)"
"6521","4163132","Active","434171","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","NORTH CONDUIT AVENUE","N","FRANCIS LEWIS BOULEVARD","242 STREET","40.66662015323","-73.7362405536","1,057,421.9451793","182,254.255620062","POINT (-73.7362405536019 40.6666201532264)"
"15417","4263007","Active","455313","2HR Pas Sat 0800-1900",,"On Street","Queens","FRESH POND ROAD","W","PUTNAM AVENUE","67 AVENUE","40.70613739684","-73.89684524153","1,012,850.19705264","196,558.215857223","POINT (-73.8968452415319 40.7061373968425)"
"3178","3053061","Active","318470","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","EAST 15 STREET","E","KINGS HIGHWAY","AVENUE R","40.60850095649","-73.95818135888","995,861.421318978","160,972.46944356","POINT (-73.9581813588798 40.6085009564877)"
"10380","3353013","Active","333147","2HR Pas Mon-Fri 1600-1900, Sat 0830-1900",,"On Street","Brooklyn","MYRTLE AVENUE","N","WASHINGTON PARK","CARLTON AVENUE","40.69332679021","-73.97345517043","991,611.108953476","191,875.20652248","POINT (-73.9734551704314 40.69332679021)"
"3805","4053075","Active","464663","2HR Pas Mon-Sat 0830-1900",,"On Street","Queens","AUSTIN STREET","S","ASCAN AVENUE","73 ROAD","40.71806778522","-73.84010309204","1,028,574.30668047","200,928.432182387","POINT (-73.8401030920386 40.7180677852155)"
"12308","2162849","Active","200595","2HR Pas Mon-Sat 0900-1900",,"On Street","Bronx","EAST TREMONT AVENUE","W","SOMMER PLACE","LAFAYETTE AVENUE","40.83004981429","-73.82576521803","1,032,467.68898556","241,734.743286148","POINT (-73.825765218025 40.8300498142901)"
"14904","2313027","Inactive","212159","2HR Pas Mon-Sat 0830-1900",,"On Street","Bronx","WESTCHESTER AVENUE","N","PILGRIM AVENUE","EDISON AVENUE","40.84648048126","-73.83313022398","1,030,418.09794039","247,717.068263724","POINT (-73.8331302239808 40.8464804812575)"
