"Complaint #","Date","Address #","Street Name","Borough","Block","Lot","BIN","Postcode","Landmark Name","Work Reported","Action Taken","Status","Council District","Community Board","NTA","Latitude","Longitude"
"CMP-18-00007","07/06/2017","96","Decatur Street","Brooklyn","1858","13","3053668","11216","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Illegal work","No Warning Letter Issued","Closed","36","BK-03","Stuyvesant Heights","40.68072865602","-73.93959856458"
"CMP-18-00008","07/06/2017","1091","Lorimer Street","Brooklyn","2569","49","3064983","11222","Greenpoint - Historic District","Replacement of sidewalk--completed by DOT?","No Warning Letter Issued","Closed","33","BK-01","Greenpoint","40.72797555363","-73.95421851715"
"CMP-18-00012","07/07/2017","133","Kent Street","Brooklyn","2550","59","3064589","11222","Greenpoint - Historic District","replacing sidewalks","No Warning Letter Issued","Closed","33","BK-01","Greenpoint","40.73078950643","-73.9556959126"
"CMP-18-00011","07/07/2017","1187","Dean Street","Brooklyn","1206","49","3030007","11216","Crown Heights North - Historic District","Changing the windows, construction work","No Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67691862187","-73.95048973304"
"CMP-18-00013","07/07/2017","928","St Marks Avenue","Brooklyn","1230","12","3031061","11213","Crown Heights North  III - Historic District","Fence torn down and making a driveway","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67471847761","-73.94129479298"
"CMP-18-00014","07/08/2017","47-08","39th Avenue","Queens","148","45","4001385","11104","Sunnyside Gardens - Historic District","Replacement of gate and fence","Warning Letter Issued","Closed","26","QN-02","Hunters Point-Sunnyside-West Maspeth","40.74917917862","-73.91597980436"
"CMP-18-00015","07/09/2017","39-48","46th Street","Queens","154","79","4001639","11104","Sunnyside Gardens - Historic District","Installation of fence at rear yard","No Warning Letter Issued","Closed","26","QN-02","Hunters Point-Sunnyside-West Maspeth","40.74806606972","-73.91772438212"
"CMP-18-00016","07/10/2017","95","7th Avenue South","Manhattan","591","15","1010184","10014","Greenwich Village - Historic District","Installation of signage, planters, and fencing","Warning Letter Issued","Closed","03","MN-02","West Village","40.73285929558","-74.00320410864"
"CMP-18-00017","07/10/2017","99","Noble Street","Brooklyn","2566","80","3064938","11222","Greenpoint - Historic District","Installation of HVAC unit on front façade","Warning Letter Issued","Closed","33","BK-01","Greenpoint","40.72855009297","-73.95650198491"
"CMP-18-00019","07/11/2017","18","Mercer Street","Manhattan","231","19","1003016","10013","SoHo-Cast Iron - Historic District","Failure to install captials","Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72063143276","-74.00196251723"
"CMP-18-00020","07/11/2017","111","West 11th Street","Manhattan","607","51","1010586","10011","Greenwich Village - Historic District","Façade work without permits","Warning Letter Issued","Closed","03","MN-02","West Village","40.73565623896","-73.99889583514"
"CMP-18-00021","07/11/2017","20","West 72nd Street","Manhattan","1124","46","1028620","10023","Upper West Side/Central Park West - Historic District","Installation of awning","Warning Letter Issued","Closed","06","MN-07","Lincoln Square","40.77672635292","-73.97718818218"
"CMP-18-00018","07/11/2017","4622","Grosvenor Avenue","bronx","5821","2784","2084435","10471","Fieldston - Historic District","Removal of paint","Warning Letter Issued","Closed","11","BX-08","North Riverdale-Fieldston-Riverdale","40.89430157712","-73.9064862242"
"CMP-18-00023","07/12/2017","37-34","79th Street","Queens","1289","23","4029926","11372","Jackson Heights - Historic District","Work at front walkway","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.74911052597","-73.88704924148"
"CMP-18-00022","07/12/2017","39-09","49th Street","Queens","132","131","4001055","11104","Sunnyside Gardens - Historic District","Installation of wire for Verizon","No Warning Letter Issued","Closed","26","QN-02","Hunters Point-Sunnyside-West Maspeth","40.74864578274","-73.91473534201"
"CMP-18-00024","07/12/2017","521","Broadway","Manhattan","484","12","1007250","10012","SoHo-Cast Iron - Historic District","Installation of HVAC unit","No Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72270648332","-73.99909086445"
"CMP-18-00025","07/12/2017","26","Cornelia Street","Manhattan","589","14","1078013","10014","Greenwich Village  Extension II - Historic District","Removal of awning","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73143753853","-74.00207829639"
"CMP-18-00026","07/14/2017","60-56","67th Avenue","Queens","3532","3","4085063","11385","Central Ridgewood - Historic District","Replacement of stoop","Warning Letter Issued","Closed","30","QN-05","Ridgewood","40.7052761815","-73.89823227304"
"CMP-18-00033","07/14/2017","223","Waverly Avenue","Brooklyn","1917","21","3055055","11205","Clinton Hill - Historic District","demo of building","Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.69109042694","-73.96740924142"
"CMP-18-00032","07/14/2017","21","Greenwich Avenue","Manhattan","610","53","1010688","10014","Greenwich Village - Historic District","FTM?","No Warning Letter Issued","Closed","03","MN-02","West Village","40.7345912799","-73.99993505016"
"CMP-18-00031","07/14/2017","60-63","68th Avenue","Queens","3532","45","4085104","11385","Central Ridgewood - Historic District","Replacement of stoop","Warning Letter Issued","Closed","30","QN-05","Ridgewood","40.7048089832","-73.89756935078"
"CMP-18-00027","07/14/2017","60-53","68th Avenue","Queens","3532","50","4085109","11385","Central Ridgewood - Historic District","Replacement of stoop","Warning Letter Issued","Closed","30","QN-05","Ridgewood","40.70472962868","-73.89784358269"
"CMP-18-00028","07/14/2017","60-54","68th Avenue","Queens","3533","2","4085112","11385","Central Ridgewood - Historic District","Replacement of stoop","Warning Letter Issued","Closed","30","QN-05","Ridgewood","40.70469947469","-73.89788690941"
"CMP-18-00029","07/14/2017","60-56","68th Avenue","Queens","3533","3","4085113","11385","Central Ridgewood - Historic District","Replacement of stoop","Warning Letter Issued","Closed","30","QN-05","Ridgewood","40.70471863362","-73.897825566"
"CMP-18-00030","07/14/2017","60-62","68th Avenue","Queens","3533","6","4085116","11385","Central Ridgewood - Historic District","Replacement of stoop","Warning Letter Issued","Closed","30","QN-05","Ridgewood","40.70476788234","-73.8976487616"
"CMP-18-00034","07/16/2017","269","Washington Avenue","Brooklyn","1918","18","3394885","11205","Clinton Hill - Historic District","Installation of visible rooftop mechanicals; nb not flush with old building","No Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.69073329971","-73.96634205447"
"CMP-18-00038","07/17/2017","82","West 12th Street","Manhattan","575","13","1009564","10011","Greenwich Village - Historic District","Installation of signage at transom","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73585932701","-73.99741639068"
"CMP-18-00035","07/17/2017","105","8th Avenue","Brooklyn","1068","7502","3024796","11215",,"Repointing façade in noncompliance","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67259497903","-73.97355033379"
"CMP-18-00037","07/17/2017","5","Verona Place","Brooklyn","1850","11","3053268","11216","Bedford - Historic District","Construction","No Warning Letter Issued","Closed","36","BK-03","Bedford","40.68105922686","-73.94764558144"
"CMP-18-00036","07/17/2017","436","Macon Street","Brooklyn","1670","26","3046812","11233","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Metalwork being done","Warning Letter Issued","Closed","36","BK-03","Crown Heights North","40.68292661148","-73.93351765083"
"CMP-18-00042","07/18/2017","39","Hamilton Terrace","Manhattan","2050","107","1060994","10031","Hamilton Heights - Historic District","Construction at rear, deck and pool?","Warning Letter Issued","Closed","07","MN-09","Hamilton Heights","40.82272333084","-73.94653690942"
"CMP-18-00039","07/18/2017","55","Barrow Street","Manhattan","587","46","1009961","10014","Greenwich Village - Historic District","Installation of ac unit at Barrow Street façade and window replaced","Warning Letter Issued","Closed","03","MN-02","West Village","40.73201386675","-74.00452827176"
"CMP-18-00043","07/18/2017","952","St. Johns Place","Brooklyn","1256","12","3032361","11213","Crown Heights North  II - Historic District","Painting façade without permits","No Warning Letter Issued","Closed","35","BK-08","Crown Heights North","40.67142732289","-73.94658248457"
"CMP-18-00041","07/18/2017","217","Front Street","Manhattan","97","18","1087524","10038","South Street Seaport - Historic District","Demo architectural elements of courtyard","No Warning Letter Issued","Closed","01","MN-01","Battery Park City-Lower Manhattan","40.7073797169","-74.0023985561"
"CMP-18-00040","07/18/2017","496","Broome Street","Manhattan","487","5","1007305","10013","SoHo-Cast Iron - Historic District","Replacement of windows and storefront","Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72319227712","-74.00271299571"
"CMP-18-00044","07/19/2017","4630","Fieldston Road","bronx","5819","2135","2084414","10471","Fieldston - Historic District","Removal of shutters","Warning Letter Issued","Closed","11","BX-08","North Riverdale-Fieldston-Riverdale","40.89472572026","-73.90491584126"
