"Complaint #","Date","Address #","Street Name","Borough","Block","Lot","BIN","Postcode","Landmark Name","Work Reported","Action Taken","Status","Council District","Community Board","NTA","Latitude","Longitude"
"CMP-15-00003","07/01/2014","131","East 65th Street","Manhattan","1400","113","1042450","10065","Upper East Side - Historic District","Construction of rear yard addition without permits; photographs with complaint file","Warning Letter Issued","Closed","04","MN-08","Upper East Side-Carnegie Hill","40.76613981858","-73.9657913219"
"CMP-15-00004","07/01/2014","93","St. Johns Place","Brooklyn","945","77","3019314","11217","Park Slope - Historic District","work being done; working on building façade","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67720674265","-73.97602168538"
"CMP-15-00005","07/01/2014","903","Sterling Place","Brooklyn","1241","58","3031568","11216","Crown Heights North  II - Historic District","painting base of building without permits","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.6724548448","-73.94872661471"
"CMP-15-00001","07/01/2014","180","10th Avenue","Manhattan","718","7502","1088996","10011","Chelsea - Historic District","Installation of bar on patio","No Warning Letter Issued","Closed","03","MN-04","Hudson Yards-Chelsea-Flatiron-Union Square","40.74621518344","-74.00522937407"
"CMP-15-00002","07/01/2014","1156","Dean Street","Brooklyn","1212","24","3030313","11216","Crown Heights North - Historic District","Painting front walls","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67694366645","-73.95129007013"
"CMP-15-00006","07/03/2014","466","Broome Street","Manhattan","485","40","1007280","10013","SoHo-Cast Iron - Historic District","Installation illumination at periphery of window","Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72247043133","-74.00121217644"
"CMP-15-00009","07/07/2014","71","West 12th Street","Manhattan","576","76","1009634","10011","Greenwich Village - Historic District","Interior demolition without permits","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73581815238","-73.99727205665"
"CMP-15-00008","07/07/2014","568","Hancock Street","Brooklyn","1660","38","3046079","11233","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Stuccoing over bay, windows in noncompliance, cornice in noncompliance","Warning Letter Issued","Closed","36","BK-03","Stuyvesant Heights","40.68448807252","-73.93297525196"
"CMP-15-00007","07/07/2014","369","Greenwich Street","Manhattan","181","13","1002072","10013","Tribeca West - Historic District","installation of platform at sidewalk café","Warning Letter Issued","Closed","01","MN-01","SoHo-TriBeCa-Civic Center-Little Italy","40.71935193105","-74.01029941018"
"CMP-15-00013","07/08/2014","113","St. Johns Place","Brooklyn","945","68","3019305","11217","Park Slope - Historic District","Jackhammering front steps","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67703922122","-73.97559272556"
"CMP-15-00011","07/08/2014","10-12","East 16th Street","Manhattan","843","41","1016078","10003","Ladies' Mile - Historic District","Alteration to façade","Warning Letter Issued","Closed","02","MN-05","Hudson Yards-Chelsea-Flatiron-Union Square","40.73715736425","-73.99226345489"
"CMP-15-00010","07/08/2014","41","Commerce Street","Manhattan","584","58","1009848","10014","Greenwich Village - Historic District","Installation of HVAC equipment without permits--visible from Barrow Street","Warning Letter Issued","Closed","03","MN-02","West Village","40.73141546536","-74.00555294634"
"CMP-15-00012","07/08/2014","555","Eastern Parkway","Brooklyn","1262","63","3032711","11216","Crown Heights North  II - Historic District","Alts to areaway wall and base of building","Warning Letter Issued","Closed","35","BK-08","Crown Heights North","40.66982851783","-73.94968751611"
"CMP-15-00014","07/09/2014","1165","Broadway","Manhattan","829","22","1015683","10001","Madison Square North - Historic District","installation of awning and replacement of storefronts (?) without permits","Warning Letter Issued","Closed","03","MN-05","Hudson Yards-Chelsea-Flatiron-Union Square","40.74471889428","-73.98906150665"
"CMP-15-00015","07/09/2014","118","Prospect Park West","Brooklyn","1089","33","3025827","11215","Park Slope - Historic District","Replacement of windows without permits","Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.66578295287","-73.97587079415"
"CMP-15-00016","07/10/2014","93-31","209 Street","Queens","10550","29","4224800","11428",,"new building. Construction unsafe","No Warning Letter Issued","Closed","23","QN-13","Queens Village","40.71675141225","-73.75289562013"
"CMP-15-00018","07/11/2014","37-16","79th Street","Queens","1289","14","4029917","11372","Jackson Heights - Historic District","Removed porch roof? Patching brickwork","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.7491242497","-73.88704921821"
"CMP-15-00017","07/11/2014","37-05","79th Street","Queens","1290","1","4029968","11372","Jackson Heights - Historic District","Installation of fence","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.74913521098","-73.88703115405"
"CMP-15-00019","07/13/2014","126","Rutland Road","Brooklyn","5038","9","3115367","11225","Prospect Lefferts Gardens - Historic District","Ongoing stoop work","Warning Letter Issued","Closed","40","BK-09","Prospect Lefferts Gardens-Wingate","40.65905237442","-73.95603910386"
"CMP-15-00022","07/14/2014","356","Hollywood Avenue","Queens","8049","25","4168351","11363","Douglaston - Historic District","Installation of security cameras on trees and building","Warning Letter Issued","Closed","19","QN-11","Douglas Manor-Douglaston-Little Neck","40.77637073586","-73.74675660716"
"CMP-15-00023","07/14/2014","314","West 83rd Street","Manhattan","1245","32","1033806","10024","Riverside-West End  Extension I - Historic District","Painting the brownstone green without permits","Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78719528246","-73.97993631081"
"CMP-15-00020","07/14/2014","21-45","45th Avenue","Queens","78","22","4000644","11101","Hunters Point - Historic District","Painting front façade","Warning Letter Issued","Closed","26","QN-02","Hunters Point-Sunnyside-West Maspeth","40.74728737428","-73.94719654381"
"CMP-15-00021","07/14/2014","218-220","Fifth Avenue","Manhattan","828","35","1015650","10001","Madison Square North - Historic District","Installation of sf in noncompliance","No Warning Letter Issued","Closed","02","MN-05","Hudson Yards-Chelsea-Flatiron-Union Square","40.74354679423","-73.9881342351"
"CMP-15-00027","07/15/2014","47","Hamilton Terrace","Manhattan","2050","110","1060997","10031","Hamilton Heights - Historic District","Stairs in disrepair, glass block in 1st floor window","No Warning Letter Issued","Closed","07","MN-09","Hamilton Heights","40.82286875218","-73.94643201234"
"CMP-15-00029","07/15/2014","852","Park Place","Brooklyn","1241","11","3031527","11216","Crown Heights North  II - Historic District","stoop work","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67336360508","-73.94926666792"
"CMP-15-00024","07/15/2014","1203","Bergen Street","Brooklyn","1214","64","3030444","11213","Crown Heights North - Historic District","painting façade","No Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67587619786","-73.94571368565"
"CMP-15-00028","07/15/2014","434","Lafayette Street","Manhattan","545","37","1008801","10003","434 Lafayette Street Building - Individual Landmark;  NoHo - Historic District","Signage and lights","Warning Letter Issued","Closed","02","MN-02","West Village","40.72918109262","-73.99202985888"
"CMP-15-00026","07/15/2014","1209","Bergen Street","Brooklyn","1214","60","3030440","11213","Crown Heights North - Historic District","Replacement of Door","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67586789711","-73.94557309164"
"CMP-15-00025","07/15/2014","1201","Bergen Street","Brooklyn","1214","65","3030445","11213","Crown Heights North - Historic District","Replacement of Door","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67587621996","-73.94576055256"
"CMP-15-00030","07/15/2014","138","Sterling Street","Brooklyn","1319","14","3034944","11225","Prospect Lefferts Gardens - Historic District","Ongoing façade work","Warning Letter Issued","Closed","40","BK-09","Prospect Lefferts Gardens-Wingate","40.66278806693","-73.95616279734"
"CMP-15-00032","07/16/2014","34-37","80th Street","Queens","1267","51","4431235","11372","Jackson Heights - Historic District","Installed brass numbers at the door","No Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.75271956444","-73.88673633075"
"CMP-15-00034","07/16/2014","38","Hamilton Terrace","Manhattan","2050","73","1060970","10031","Hamilton Heights - Historic District","Stoop, stairs in disrepair","No Warning Letter Issued","Closed","07","MN-09","Hamilton Heights","40.82266023418","-73.94660560902"
"CMP-15-00033","07/16/2014","137","decatur Street","Brooklyn","1856","47","3053591","11216","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Cutting decorative elements from the façade, interior alts","No Warning Letter Issued","Closed","36","BK-03","Stuyvesant Heights","40.68091999103","-73.93809493071"
"CMP-15-00031","07/16/2014","668","6th Avenue","Manhattan","822","78","1015515","10010","Ladies' Mile - Historic District","Installation of signage, noncompliant sf; sloppy work at upper floors","No Warning Letter Issued","Closed","03","MN-05","Hudson Yards-Chelsea-Flatiron-Union Square","40.74148044275","-73.99382551885"
"CMP-15-00036","07/17/2014","7023","Fort Hamilton Parkway","Brooklyn","5897","1","3146819","11228",,"Repointing, scaffolding","No Warning Letter Issued","Closed","43","BK-10","Dyker Heights","40.62805219769","-74.01307010276"
"CMP-15-00035","07/17/2014","391","Broadway","Manhattan","193","46","1002218","10013","Tribeca East - Historic District","Construction of a rooftop addition without permits","Warning Letter Issued","Closed","01","MN-01","SoHo-TriBeCa-Civic Center-Little Italy","40.71835601042","-74.00278134031"
"CMP-15-00037","07/17/2014","178","West houston Street","Manhattan","527","51","1008354","10014","Greenwich Village  Extension II - Historic District","Installation of sf without permits","Warning Letter Issued","Closed","03","MN-02","West Village","40.72867903337","-74.00321112365"
"CMP-15-00038","07/18/2014","361","Central Park West","Manhattan","1832","29","1055263","10025","First Church of Christ Scientist of New York City - Individual Landmark","Interior alts/renovation","No Warning Letter Issued","Closed","07","MN-07","Upper West Side","40.79177255518","-73.96461888389"
"CMP-15-00039","07/18/2014","41-23","Prospect Avenue","Queens","8105","1","4168785","11363","Douglaston Hill - Historic District","Failure to maintain.","Warning Letter Issued","Closed","19","QN-11","Douglas Manor-Douglaston-Little Neck","40.76928986362","-73.74702180731"
"CMP-15-00040","07/21/2014","694","Madison Avenue","Manhattan","1377","16","1040892","10065","Upper East Side - Historic District","Installation of sf cladding--purple","No Warning Letter Issued","Closed","04","MN-08","Upper East Side-Carnegie Hill","40.76566338301","-73.96991058562"
"CMP-15-00041","07/21/2014","129","West 87th Street","Manhattan","1218","122","1032272","10024","Upper West Side/Central Park West - Historic District","Installation of signage","Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78758903","-73.97267046456"
"CMP-15-00042","07/22/2014","73","South Oxford Street","Brooklyn","2101","1","3058926","11217","Fort Greene - Historic District","excavation","Warning Letter Issued","Closed","35","BK-02","Fort Greene","40.68770224939","-73.97371741905"
"CMP-15-00045","07/23/2014","308","Bowery","Manhattan","521","77","1008202","10012","NoHo East - Historic District","Installation of light and signage","No Warning Letter Issued","Closed","01","MN-02","West Village","40.72475382477","-73.99239116752"
"CMP-15-00046","07/23/2014","628","Hudson Street","Manhattan","626","23","1011648","10014","Greenwich Village - Historic District","Painting sf, awning, security camera, goosenecks, sf?","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73837616065","-74.0055463094"
"CMP-15-00044","07/23/2014","1860","Bedford Avenue","Brooklyn","5031","57","3114866","11225","Prospect Lefferts Gardens - Historic District","Metal post being cemented in front and side yard","Warning Letter Issued","Closed","40","BK-09","Prospect Lefferts Gardens-Wingate","40.66006275902","-73.95684579972"
"CMP-15-00043","07/23/2014","502","13th Street","Brooklyn","1101","34","3026539","11215","Park Slope - Historic District","Replacement of windows without permits","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.6624954093","-73.97948361662"
"CMP-15-00047","07/24/2014","86","2nd Avenue","Manhattan","446","8","1006205","10003","East Village/Lower East Side - Historic District","ongoing interior work","No Warning Letter Issued","Closed","02","MN-03","East Village","40.72668586376","-73.98904281924"
"CMP-15-00048","07/24/2014","471","West End Avenue","Manhattan","1245","24","1033802","10024","Riverside-West End  Extension I - Historic District","Building fire; no permits","No Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78663802808","-73.97951758591"
"CMP-15-00051","07/25/2014","43","Lispenard Street","Manhattan","210","10","1002711","10013","Tribeca East - Historic District","Cutting the shutters and doors to make a grill","Warning Letter Issued","Closed","01","MN-01","SoHo-TriBeCa-Civic Center-Little Italy","40.7197448453","-74.00329005865"
"CMP-15-00049","07/25/2014","232","Adelphi Street","Brooklyn","2090","45","3398674","11205","Fort Greene - Historic District","Installation of projecting bay in noncompliance?","No Warning Letter Issued","Closed","35","BK-02","Fort Greene","40.69069623691","-73.97138318991"
"CMP-15-00050","07/25/2014","384","Broadway","Manhattan","195","2","1002318","10013","Tribeca East - Historic District","installation of stretch banners","Warning Letter Issued","Closed","01","MN-01","SoHo-TriBeCa-Civic Center-Little Italy","40.71820504615","-74.00288234225"
"CMP-15-00053","07/28/2014","109","Prospect Avenue","Queens","8094","36","4168661","11363","Douglaston - Historic District","Power washed building and replaced roof","No Warning Letter Issued","Closed","19","QN-11","Douglas Manor-Douglaston-Little Neck","40.77198483841","-73.74810551043"
"CMP-15-00054","07/28/2014","772","Saint Nicholas Avenue","Manhattan","2053","114","1061156","10031","Hamilton Heights/Sugar Hill - Historic District","Illegal interior work","Warning Letter Issued","Closed","09","MN-09","Hamilton Heights","40.82621024842","-73.94315567864"
"CMP-15-00055","07/28/2014","375","West Broadway","Manhattan","487","8","1007308","10012","SoHo-Cast Iron - Historic District","Alteration to residential door surround (completed between 2009 and 2011)","Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72371927271","-74.00262282377"
"CMP-15-00052","07/28/2014","180","10th Avenue","Manhattan","718","7502","1088996","10011","Chelsea - Historic District","Installation of bar without permits","Warning Letter Issued","Closed","03","MN-04","Hudson Yards-Chelsea-Flatiron-Union Square","40.74621518344","-74.00522937407"
"CMP-15-00057","07/29/2014","265","Alexander Avenue","bronx","2314","27","2000697","10454","Mott Haven - Historic District","Renovating building","Warning Letter Issued","Closed","08","BX-01","Mott Haven-Port Morris","40.81047252531","-73.9248468287"
"CMP-15-00059","07/29/2014","574","West End Avenue","Manhattan","1235","61","1033224","10024","Riverside-West End - Historic District","Double doors at entrance have been taken down","Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.79010139621","-73.9769560854"
"CMP-15-00058","07/29/2014","1301","Surf Avenue","Brooklyn","7064","16","3189607","11224","Coney Island Theater (later Shore Theater) Building - Individual Landmark","Homeless people living inside, selling scraps, removal of window frames","Warning Letter Issued","Closed","47","BK-13","Seagate-Coney Island","40.57557364813","-73.98129578385"
"CMP-15-00056","07/29/2014","297","Alexander Avenue","bronx","2314","67","2000712","10454","Mott Haven - Historic District","Renovating basement; interior alts","Warning Letter Issued","Closed","08","BX-01","Mott Haven-Port Morris","40.81122147732","-73.9243004985"
"CMP-15-00064","07/30/2014","56","West 11th Street","Manhattan","574","15","1009516","10011","Greenwich Village - Historic District","Replacement of sidewalk in noncompliance-no scoring","Warning Letter Issued","Closed","03","MN-02","West Village","40.73476415512","-73.99680662476"
"CMP-15-00062","07/30/2014","219","Kane Street","Brooklyn","312","55","3003557","11231","Cobble Hill - Historic District","Reconstructing rear and side walls","Warning Letter Issued","Closed","39","BK-06","Carroll Gardens-Columbia Street-Red Hook","40.68598146443","-73.99597965138"
"CMP-15-00066","07/30/2014","164","West 88th Street","Manhattan","1218","54","1032264","10024","Upper West Side/Central Park West - Historic District","Painting the ground and façade lime green","Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78851132638","-73.97295176321"
"CMP-15-00065","07/30/2014","146","West 13th Street","Manhattan","608","17","1083193","10011","Greenwich Village - Historic District","Installation stretch banner without permits","Warning Letter Issued","Closed","03","MN-02","West Village","40.73723446991","-73.99870456021"
"CMP-15-00060","07/30/2014","239","Bleecker Street","Manhattan","589","2","1010059","10014","Greenwich Village  Extension II - Historic District","Installation of signage without permits-starbucks","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73059214304","-74.00261587807"
"CMP-15-00061","07/30/2014","1351","Dean Street","Brooklyn","1209","76","3030182","11216","Crown Heights North - Historic District","Stoop work without permits","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67655322552","-73.94377354513"
"CMP-15-00063","07/30/2014","908","St. John's Place","Brooklyn","1255","33","3032302","11216","Crown Heights North  II - Historic District","brownstone work without permits","Warning Letter Issued","Closed","35","BK-08","Crown Heights North","40.67152422251","-73.94840649289"
"CMP-15-00067","07/31/2014","173","6th Avenue","Brooklyn","948","1","3019458","11217","Park Slope - Historic District","Installation of fountain and benches at Lincoln Place without permits","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67681169897","-73.97702046731"
"CMP-15-00069","07/31/2014","208","Dean Street","Brooklyn","196","15","3001370","11217","Boerum Hill - Historic District","Replacing sidewalk","No Warning Letter Issued","Closed","33","BK-02","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","40.68536297693","-73.98494997348"
"CMP-15-00070","07/31/2014","750","St. Marks Avenue","Brooklyn","1227","29","3031001","11216","Crown Heights North  II - Historic District","Replacing cornice","No Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67510889698","-73.94840011468"
"CMP-15-00068","07/31/2014","27","Cherry Street","Queens","8094","39","4168662","11363","Douglaston - Historic District","Replacement of roof","Warning Letter Issued","Closed","19","QN-11","Douglas Manor-Douglaston-Little Neck","40.77104151172","-73.74850260274"
"CMP-15-00071","08/01/2014","558","3rd Street","Brooklyn","1080","131","3422232","11215",,"Major jackhammering","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.66972467388","-73.97694720788"
"CMP-15-00074","08/01/2014","140","Manhattan Avenue","Manhattan","1841","46","1055615","10025","Manhattan Avenue - Historic District","Painting base of building","Warning Letter Issued","Closed","07","MN-07","Upper West Side","40.79855105205","-73.96154525836"
"CMP-15-00075","08/01/2014","49","West 83rd Street","Manhattan","1197","13","1031225","10024","Upper West Side/Central Park West - Historic District","façade work","Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78409769628","-73.97253106832"
"CMP-15-00072","08/01/2014","41-10A","47th Street","Queens","137","38","4001260","11104","Sunnyside Gardens - Historic District","Alts at base of building","Warning Letter Issued","Closed","26","QN-02","Hunters Point-Sunnyside-West Maspeth","40.74619922744","-73.9171492549"
"CMP-15-00073","08/01/2014","236","Adelphi Street","Brooklyn","2090","52","3058515","11205","Fort Greene - Historic District","Replacement of windows in noncompliance","No Warning Letter Issued","Closed","35","BK-02","Fort Greene","40.69061114457","-73.9713651967"
"CMP-15-00076","08/03/2014","274","Vanderbilt Avenue","Brooklyn","2105","36","3059143","11205","Fort Greene - Historic District","Replacement of windows; shortening windows","No Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.6890130825","-73.96902568116"
"CMP-15-00080","08/04/2014","180","Bainbridge Street","Brooklyn","1686","30","3047810","11233","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Installation of lights without permits; photograph Chauncey Street façade","No Warning Letter Issued","Closed","36","BK-03","Crown Heights North","40.68109369377","-73.92988880947"
"CMP-15-00079","08/04/2014","461","Amsterdam Avenue","Manhattan","1213","1","1032053","10024","Upper West Side/Central Park West - Historic District","Installation of louver at West 82nd Street façade--near residential entrance","Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78523495277","-73.97679166051"
"CMP-15-00078","08/04/2014","35-56","88th Street","Queens","1461","33","4035889","11372","Jackson Heights - Historic District","Removal of slate roof","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.75089450783","-73.87884248112"
"CMP-15-00077","08/04/2014","35-54","88th Street","Queens","1461","32","4035888","11372","Jackson Heights - Historic District","Removal of slate roof","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.75093569039","-73.87885323385"
"CMP-15-00082","08/05/2014","321","Bleecker Street","Manhattan","591","40","1010192","10014","Greenwich Village - Historic District","painting the storefront","Warning Letter Issued","Closed","03","MN-02","West Village","40.73312276374","-74.00409535775"
"CMP-15-00084","08/05/2014","17","Leonard Street","Manhattan","179","50","1002009","10013","Tribeca West - Historic District","Possible FTM?","No Warning Letter Issued","Closed","01","MN-01","SoHo-TriBeCa-Civic Center-Little Italy","40.71866867407","-74.007921987"
"CMP-15-00081","08/05/2014","404","6th Avenue","Manhattan","572","2","1009405","10011","Greenwich Village - Historic District","Installation of signage in noncompliance; installation of sf in noncompliance","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73376785238","-73.9994335001"
"CMP-15-00083","08/05/2014","151","Dekalb Avenue","Brooklyn","2100","36","3058887","11217","Fort Greene - Historic District","Stoop work, façade work","Warning Letter Issued","Closed","35","BK-02","Fort Greene","40.68967043361","-73.97453518106"
"CMP-15-00085","08/05/2014","31","West 8th Street","Manhattan","572","59","1009442","10011","Greenwich Village - Historic District","Painting façade","Warning Letter Issued","Closed","03","MN-02","West Village","40.73285108367","-73.99773763979"
"CMP-15-00086","08/06/2014","149","West 13th Street","Manhattan","609","70","1010660","10011","Greenwich Village - Historic District","Bad pointing at parlor floor","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73726466255","-73.99873703585"
"CMP-15-00087","08/07/2014","21","9th avenue","Manhattan","645","44","1012214","10014","Gansevoort Market - Historic District","Installation of awnings at roof without permits","Warning Letter Issued","Closed","03","MN-02","West Village","40.74002298614","-74.00605526168"
"CMP-15-00092","08/08/2014","89","St. James Place","Brooklyn","1964","31","3056137","11238","Clinton Hill - Historic District","garbage enclosure","No Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.68649478542","-73.96438628692"
"CMP-15-00090","08/08/2014","133","St. James Place","Brooklyn","1964","9","3056115","11238","Clinton Hill - Historic District","garbage enclosure","Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.68558071964","-73.96420288581"
"CMP-15-00091","08/08/2014","219","St. James Place","Brooklyn","1980","4","3056683","11238","Clinton Hill - Historic District","garbage enclosure","Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.68321183394","-73.96373183115"
"CMP-15-00089","08/08/2014","270","Lafayette Street","Manhattan","510","1","1007929","10012","SoHo-Cast Iron  Extension - Historic District","changing windows, adding louvers, new machinery","Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72384275902","-73.9963561803"
"CMP-15-00093","08/08/2014","67","St. James Place","Brooklyn","1951","10","3055708","11238","Clinton Hill - Historic District","resurfacing façade","Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.68748571104","-73.96459128687"
"CMP-15-00088","08/08/2014","34-57","82nd Street","Queens","1443","40","4035455","11372","Jackson Heights - Historic District","Ongoing alts to door surround","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.75264356311","-73.88482713756"
"CMP-15-00095","08/09/2014","121","Woodbine Street","Brooklyn","3350","50","3076606","11221",,"- SITE CONDITIONS ENDANGERING WORKERS CONSTRUCTION IN PROGRESS","No Warning Letter Issued","Closed","34","BK-04","Bushwick South","40.69211921451","-73.91715515217"
"CMP-15-00094","08/09/2014","2882","3RD AVENUE","BRONX","2362","1","2001159","10455",,"SITE CONDITIONS ENDANGERING WORKERS CONSTRUCTION IN PROGRESS","No Warning Letter Issued","Closed","17","BX-01",,"40.81668639179","-73.91659545471"
"CMP-15-00096","08/11/2014","1860","Bedford Avenue","Brooklyn","5031","57","3114866","11225","Prospect Lefferts Gardens - Historic District","Installing posts for a fence","Warning Letter Issued","Closed","40","BK-09","Prospect Lefferts Gardens-Wingate","40.66006275902","-73.95684579972"
"CMP-15-00097","08/11/2014","547","Macon Street","Brooklyn","1666","50","3046519","11233","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","ongoing façade work","Warning Letter Issued","Closed","36","BK-03","Stuyvesant Heights","40.68335815009","-73.92991887863"
"CMP-15-00098","08/12/2014","259","West 4th Street","Manhattan","612","7503","1010860","10014","Greenwich Village - Historic District","Installation of fence at sidewalk café without permits","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73529389072","-74.00325835114"
"CMP-15-00103","08/13/2014","97","Lincoln Place","Brooklyn","948","75","3019519","11217","Park Slope - Historic District","Water fountain, monuments","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67646574371","-73.97645817851"
"CMP-15-00106","08/13/2014","15","West 12th Street","Manhattan","576","49","1009622","10011","Greenwich Village - Historic District","Power washing building","Warning Letter Issued","Closed","03","MN-02","West Village","40.7349699586","-73.99526585169"
"CMP-15-00102","08/13/2014","118","East 7th Street","Manhattan","434","23","1005786","10009","East Village/Lower East Side - Historic District","Installation of rear balconies","Warning Letter Issued","Closed","02","MN-03","East Village","40.72637790621","-73.98433097917"
"CMP-15-00100","08/13/2014","14","Christopher Street","Manhattan","593","45","1010280","10014","Greenwich Village - Historic District","Alteration to basement entrance","Warning Letter Issued","Closed","03","MN-02","West Village","40.73394626177","-74.00048351077"
"CMP-15-00101","08/13/2014","219","Clermont avenue","Brooklyn","2092","21","3058566","11205","Fort Greene - Historic District","Removal of addition without permits","Warning Letter Issued","Closed","35","BK-02","Fort Greene","40.69087714176","-73.97039507956"
"CMP-15-00099","08/13/2014","39-57","48th Street","Queens","133","24","4001084","11104","Sunnyside Gardens - Historic District","Constructing a deck","No Warning Letter Issued","Closed","26","QN-02","Hunters Point-Sunnyside-West Maspeth","40.74790276587","-73.91583705229"
"CMP-15-00105","08/13/2014","55","West 11th Street","Manhattan","575","77","1009599","10011","Greenwich Village - Historic District","Installation of planter boxes without permits","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73476689887","-73.9967705413"
"CMP-15-00104","08/13/2014","125","Riverside Drive","Manhattan","1246","1","1033838","10024","Riverside-West End  Extension I - Historic District","Installation of signage plaques without permits","No Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78901795789","-73.9809577521"
"CMP-15-00107","08/14/2014","247","West 13th Street","Manhattan","618","63","1011129","10011","Greenwich Village - Historic District","Resurfacing brownstone lintels without permits","Warning Letter Issued","Closed","03","MN-02","West Village","40.7385903697","-74.00186922414"
"CMP-15-00108","08/15/2014","510","5th Avenue","Manhattan","1258","40","1034200","10036","(Former) Manufactures Trust Company Building - Individual Landmark;  Manufacturers Trust Company Building, First and Second Floor Interiors - Interior Landmark","Never installed curtains and the railing is incorrect","Warning Letter Issued","Closed","04","MN-05","Midtown-Midtown South","40.75397305969","-73.98053825463"
"CMP-15-00109","08/15/2014","2800","Bronx Park East","bronx","4506","40, 2700","2093461","10467","United Workers' Cooperative Colony ('The Coops') - Individual Landmark","Possible FTM; antennas","Warning Letter Issued","Closed","15","BX-11","Bronxdale","40.86683081679","-73.87044936997"
"CMP-15-00110","08/15/2014","365","West End Avenue","Manhattan","1186","25","1031099","10024","West End - Collegiate - Historic District","Installation of Subway signage at the pay phone","No Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78325692572","-73.98196685798"
"CMP-15-00111","08/17/2014","104","Bedford Street","Manhattan","588","43","1010033","10014","Greenwich Village - Historic District","Removal of storm windows","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73273294459","-74.00561439594"
"CMP-15-00112","08/18/2014","97","Greene Street","Manhattan","500","7502","1007673","10012","SoHo-Cast Iron - Historic District","Installation of planters on sidewalk without permits","No Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72426550935","-73.99998556894"
"CMP-15-00113","08/18/2014","829","Manhattan Avenue","Brooklyn","2573","16","3065105","11222","Greenpoint - Historic District","New awning and signage","Warning Letter Issued","Closed","33","BK-01","Greenpoint","40.72855716287","-73.95352177396"
"CMP-15-00114","08/18/2014","831","Manhattan Avenue","Brooklyn","2573","15","3065104","11222","Greenpoint - Historic District","Installation of signage","Warning Letter Issued","Closed","33","BK-01","Greenpoint","40.72859559818","-73.95354339516"
"CMP-15-00115","08/19/2014","51","West 83rd Street","Manhattan","1197","12","1031224","10024","Upper West Side/Central Park West - Historic District","Visible rooftop addition","Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.78411142683","-73.97255995072"
